item,expect,outcome,deviation
"F8b <u-,u-> at inf2 [K2]",opposite definite signs on +/- (K4-PASS) vs same/intra-indefinite (K4-FIRE),"INFO - pairing = sqrt(5)*(2*k**2 - 2*k*sqrt(k**2 + mu**2) + mu**2*(1 - I))  [COMPLEX (real+imag both nonzero)]; Re=sqrt(5)*(2*k**2 - 2*k*sqrt(k**2 + mu**2) + mu**2), Im=-sqrt(5)*mu**2",
F8b K4 map [K2],sigma(+freq inf1 solution) lands in the -freq sector?,INFO - sigma(u+) proportional to u- [False] / to u+ [False] (the frequency-flip claim of C=sigma),
"F8b <u+,u+> at inf1 [sqrt5*K2]",opposite definite signs on +/- (K4-PASS) vs same/intra-indefinite (K4-FIRE),"INFO - pairing = -10*k**2 - 10*k*sqrt(k**2 + mu**2) - 5*mu**2*(1 - I)  [COMPLEX (real+imag both nonzero)]; Re=-10*k**2 - 10*k*sqrt(k**2 + mu**2) - 5*mu**2, Im=5*mu**2",
"F8b <u+,u+> at inf2 [sqrt5*K2]",opposite definite signs on +/- (K4-PASS) vs same/intra-indefinite (K4-FIRE),"INFO - pairing = -10*k**2 - 10*k*sqrt(k**2 + mu**2) - 5*mu**2*(1 - I)  [COMPLEX (real+imag both nonzero)]; Re=-10*k**2 - 10*k*sqrt(k**2 + mu**2) - 5*mu**2, Im=5*mu**2",
"F8b <u-,u-> at inf1 [sqrt5*K2]",opposite definite signs on +/- (K4-PASS) vs same/intra-indefinite (K4-FIRE),"INFO - pairing = -10*k**2 + 10*k*sqrt(k**2 + mu**2) + 5*mu**2*(-1 + I)  [COMPLEX (real+imag both nonzero)]; Re=-10*k**2 + 10*k*sqrt(k**2 + mu**2) - 5*mu**2, Im=5*mu**2",
"F8b <u-,u-> at inf2 [sqrt5*K2]",opposite definite signs on +/- (K4-PASS) vs same/intra-indefinite (K4-FIRE),"INFO - pairing = -10*k**2 + 10*k*sqrt(k**2 + mu**2) + 5*mu**2*(-1 + I)  [COMPLEX (real+imag both nonzero)]; Re=-10*k**2 + 10*k*sqrt(k**2 + mu**2) - 5*mu**2, Im=5*mu**2",
F8b K4 map [sqrt5*K2],sigma(+freq inf1 solution) lands in the -freq sector?,INFO - sigma(u+) proportional to u- [False] / to u+ [False] (the frequency-flip claim of C=sigma),
F8b.5 representative agreement,K2 and sqrt5*K2 give the SAME signature (else signature not a property of the theory),"PASS - signature-kind agrees across K2 and sqrt5*K2 at every (mode,place) [True]",
F8c ev1-unitarity (dof count),ev1(S) a functional of inf1 data alone (benign) vs needs independent inf2 data (malign->K5),"PASS - tau-constraint: 4 real dof at inf1; sigma(psi) determined by them (no new symbols set()); sigma=tau on the physical locus [True] -> inf2 is the CONJUGATE of inf1 data, benign like ordinary Dirac psi-bar~psi-dagger [True] -> K5 does NOT fire",
§6 genericity (signature structure over d),"identical signature structure for sqrt2, sqrt3, sqrt5 (no d-dependence -> generic)","INFO - complex (Re<0 kinetic, Im>0 mass) for all d in {2,3,5} [True]; no d-specific sign flip -> real-quadratic-generic (not golden)",
"§6 named tension (RAW, not adjudicated)",K2 fails 226 §5.2 frontier while passing reality -> hand to Mr A / Tor,"INFO - K2 satisfies 226 §5.2 uniform-eps frontier [False] (False = fails) while F7 reality PASSES -> the pairing form and the conjugation matrix disagree about sigma. Reported raw; Fizz's operator/amplitude resolution deliberately NOT tested (her §7.1, Mr Code off-limits)",
F8 VERDICT,K4-PASS / K4-FIRE / K-DEGENERATE / ESCALATE,"INFO - GATE FAIL (§3, §8 escalation). The F8a *symmetric* conserved pairing does NOT exist -- TWO independent structural facts: (A) CONSTRUCTION (not just the axiom): conservation of (sigma psi1)^T K2 Gs psi2 fails for K2 AND A0, for sigma-even AND sigma-odd mass, on general fields AND on the physical tau-locus with an IN-field sigma-even mass -- because the sigma-adjoint fixes the phase and the tau-reality constraint is a MAJORANA (sigma-real) condition, so U(1) is broken and a sigma-real field carries no conserved symmetric Dirac charge. (What IS conserved is the ANTISYMMETRIC symplectic form Omega of F7 -- the 'Grassmann-odd shadow' the brief itself names -- not the symmetric pairing K4 asks the sign of.) (B) AXIOM: Cliff's antiparticle axiom (M^2 sigma-even) + the golden dispersion (M^2=m^2 s^2/sqrt5) force m=5^(1/4)mu NOT in K -> the massive operator leaves the field (a second, separate obstruction). DOWNSTREAM (provisional, not banked): F8b signature COMPLEX at both places (symptom of B), no clean opposite-definite pair -> K4 does NOT cleanly PASS; F8b.5 reps agree in kind; F8c K5 benign on locus. Named tension (K2 fails 226 §5.2 frontier) carried RAW; Fizz's operator/amplitude resolution NOT tested.",
